Year,Month,Day,MIROC-ESM
1980,1,1,28.67
1980,1,2,22.54
1980,1,3,20.44
1980,1,4,19.61
1980,1,5,19.17
1980,1,6,18.82
1980,1,7,18.51
1980,1,8,18.20
1980,1,9,17.89
1980,1,10,17.57
1980,1,11,17.28
1980,1,12,16.99
1980,1,13,16.70
1980,1,14,33.59
1980,1,15,217.20
1980,1,16,270.57
1980,1,17,190.33
1980,1,18,184.49
1980,1,19,191.54
1980,1,20,135.47
1980,1,21,92.01
1980,1,22,124.23
1980,1,23,145.69
1980,1,24,95.04
1980,1,25,57.52
1980,1,26,70.97
1980,1,27,210.17
1980,1,28,155.78
1980,1,29,85.80
1980,1,30,53.58
1980,1,31,41.87
1980,2,1,37.91
1980,2,2,36.39
1980,2,3,35.56
1980,2,4,34.91
1980,2,5,34.32
1980,2,6,33.74
1980,2,7,33.18
1980,2,8,32.61
1980,2,9,32.05
1980,2,10,124.18
1980,2,11,89.53
1980,2,12,56.19
1980,2,13,81.55
1980,2,14,54.56
1980,2,15,40.21
1980,2,16,34.55
1980,2,17,32.41
1980,2,18,32.06
1980,2,19,31.04
1980,2,20,30.33
1980,2,21,29.78
1980,2,22,29.27
1980,2,23,28.78
1980,2,24,54.53
1980,2,25,96.54
1980,2,26,85.98
1980,2,27,59.91
1980,2,28,80.25
1980,2,29,80.95
1980,3,1,50.49
1980,3,2,36.60
1980,3,3,50.38
1980,3,4,50.30
1980,3,5,51.86
1980,3,6,41.36
1980,3,7,33.85
1980,3,8,30.04
1980,3,9,34.99
1980,3,10,31.65
1980,3,11,28.75
1980,3,12,42.02
1980,3,13,38.59
1980,3,14,31.93
1980,3,15,27.96
1980,3,16,117.60
1980,3,17,156.01
1980,3,18,87.51
1980,3,19,57.94
1980,3,20,51.32
1980,3,21,41.69
1980,3,22,33.97
1980,3,23,29.95
1980,3,24,28.13
1980,3,25,27.23
1980,3,26,26.63
1980,3,27,26.13
1980,3,28,25.68
1980,3,29,27.52
1980,3,30,99.96
1980,3,31,130.93
1980,4,1,76.37
1980,4,2,45.06
1980,4,3,32.62
1980,4,4,28.26
1980,4,5,26.67
1980,4,6,25.90
1980,4,7,25.39
1980,4,8,24.96
1980,4,9,24.55
1980,4,10,24.13
1980,4,11,23.71
1980,4,12,80.68
1980,4,13,68.46
1980,4,14,44.43
1980,4,15,34.98
1980,4,16,28.06
1980,4,17,29.97
1980,4,18,180.02
1980,4,19,146.73
1980,4,20,76.99
1980,4,21,43.96
1980,4,22,31.98
1980,4,23,29.38
1980,4,24,118.61
1980,4,25,88.38
1980,4,26,53.25
1980,4,27,91.62
1980,4,28,113.60
1980,4,29,61.77
1980,4,30,39.65
1980,5,1,31.88
1980,5,2,29.57
1980,5,3,29.02
1980,5,4,28.17
1980,5,5,27.39
1980,5,6,26.77
1980,5,7,26.22
1980,5,8,25.77
1980,5,9,25.34
1980,5,10,24.91
1980,5,11,24.49
1980,5,12,24.06
1980,5,13,23.68
1980,5,14,23.28
1980,5,15,22.88
1980,5,16,22.49
1980,5,17,22.04
1980,5,18,21.61
1980,5,19,21.22
1980,5,20,20.84
1980,5,21,20.51
1980,5,22,20.23
1980,5,23,19.90
1980,5,24,19.53
1980,5,25,19.23
1980,5,26,18.97
1980,5,27,18.65
1980,5,28,18.31
1980,5,29,17.97
1980,5,30,17.64
1980,5,31,17.35
1980,6,1,17.04
1980,6,2,17.18
1980,6,3,16.75
1980,6,4,16.26
1980,6,5,15.93
1980,6,6,15.66
1980,6,7,18.30
1980,6,8,18.52
1980,6,9,17.43
1980,6,10,15.73
1980,6,11,14.75
1980,6,12,14.26
