Year,Month,Day,NorESM1-M
1980,1,1,25.42
1980,1,2,80.87
1980,1,3,140.87
1980,1,4,70.61
1980,1,5,41.10
1980,1,6,38.95
1980,1,7,33.34
1980,1,8,28.94
1980,1,9,27.03
1980,1,10,28.04
1980,1,11,27.52
1980,1,12,35.93
1980,1,13,32.20
1980,1,14,33.57
1980,1,15,27.87
1980,1,16,24.86
1980,1,17,23.57
1980,1,18,22.92
1980,1,19,22.47
1980,1,20,22.08
1980,1,21,21.70
1980,1,22,21.33
1980,1,23,20.96
1980,1,24,20.61
1980,1,25,20.28
1980,1,26,19.95
1980,1,27,19.62
1980,1,28,19.28
1980,1,29,18.93
1980,1,30,89.17
1980,1,31,105.82
1980,2,1,134.43
1980,2,2,157.50
1980,2,3,105.61
1980,2,4,55.75
1980,2,5,34.35
1980,2,6,27.16
1980,2,7,24.95
1980,2,8,24.01
1980,2,9,23.46
1980,2,10,32.49
1980,2,11,58.35
1980,2,12,126.98
1980,2,13,107.45
1980,2,14,70.55
1980,2,15,43.71
1980,2,16,31.42
1980,2,17,26.82
1980,2,18,25.13
1980,2,19,24.38
1980,2,20,23.89
1980,2,21,23.47
1980,2,22,23.08
1980,2,23,22.69
1980,2,24,22.30
1980,2,25,21.90
1980,2,26,134.99
1980,2,27,216.34
1980,2,28,211.47
1980,2,29,148.28
1980,3,1,70.10
1980,3,2,41.86
1980,3,3,32.82
1980,3,4,42.34
1980,3,5,31.29
1980,3,6,62.80
1980,3,7,212.02
1980,3,8,167.95
1980,3,9,101.80
1980,3,10,54.60
1980,3,11,39.06
1980,3,12,34.12
1980,3,13,32.41
1980,3,14,36.96
1980,3,15,32.22
1980,3,16,30.80
1980,3,17,30.10
1980,3,18,29.56
1980,3,19,29.06
1980,3,20,28.56
1980,3,21,28.06
1980,3,22,27.74
1980,3,23,27.26
1980,3,24,29.48
1980,3,25,34.02
1980,3,26,29.42
1980,3,27,60.45
1980,3,28,174.37
1980,3,29,165.92
1980,3,30,248.89
1980,3,31,245.78
1980,4,1,134.05
1980,4,2,65.80
1980,4,3,44.29
1980,4,4,37.79
1980,4,5,35.65
1980,4,6,34.67
1980,4,7,34.00
1980,4,8,34.15
1980,4,9,208.01
1980,4,10,201.26
1980,4,11,162.49
1980,4,12,89.25
1980,4,13,56.50
1980,4,14,43.89
1980,4,15,135.18
1980,4,16,76.36
1980,4,17,51.07
1980,4,18,58.07
1980,4,19,142.23
1980,4,20,205.06
1980,4,21,114.29
1980,4,22,67.88
1980,4,23,186.14
1980,4,24,230.28
1980,4,25,248.22
1980,4,26,143.83
1980,4,27,80.49
1980,4,28,57.49
1980,4,29,49.98
1980,4,30,47.33
1980,5,1,46.06
1980,5,2,45.16
1980,5,3,44.34
1980,5,4,43.55
1980,5,5,43.18
1980,5,6,136.43
1980,5,7,203.29
1980,5,8,126.30
1980,5,9,74.23
1980,5,10,53.89
1980,5,11,46.95
1980,5,12,44.42
1980,5,13,43.10
1980,5,14,42.25
1980,5,15,41.56
1980,5,16,40.74
1980,5,17,40.06
1980,5,18,39.44
1980,5,19,38.81
1980,5,20,38.19
1980,5,21,37.56
1980,5,22,36.79
1980,5,23,36.23
1980,5,24,35.72
1980,5,25,35.15
1980,5,26,34.51
1980,5,27,33.91
1980,5,28,33.34
1980,5,29,32.73
1980,5,30,32.13
1980,5,31,31.65
1980,6,1,31.09
1980,6,2,30.56
1980,6,3,30.04
1980,6,4,29.55
1980,6,5,29.06
1980,6,6,28.56
1980,6,7,28.05
1980,6,8,27.53
1980,6,9,27.02
1980,6,10,26.55
1980,6,11,26.03
1980,6,12,25.53
1980,6,13,25.12
1980,6,14,24.80
1980,6,15,24.45
1980,6,16,24.06
1980,6,17,23.64
1980,6,18,23.27
1980,6,19,22.91
1980,6,20,22.48
1980,6,21,22.09
1980,6,22,21.68
1980,6,23,21.28
1980,6,24,20.96
1980,6,25,20.62
1980,6,26,20.19
1980,6,27,19.80
1980,6,28,19.49
1980,6,29,19.20
1980,6,30,18.89
1980,7,1,18.56
1980,7,2,18.22
1980,7,3,17.87
1980,7,4,17.54
1980,7,5,17.25
1980,7,6,16.93
1980,7,7,16.60
1980,7,8,16.34
1980,7,9,16.10
1980,7,10,15.84
1980,7,11,15.61
1980,7,12,15.34
1980,7,13,15.05
1980,7,14,14.79
1980,7,15,14.51
1980,7,16,14.27
1980,7,17,14.05
1980,7,18,13.82
1980,7,19,13.57
1980,7,20,13.33
1980,7,21,13.11
1980,7,22,12.87
1980,7,23,12.61
1980,7,24,12.38
1980,7,25,12.16
