Year,Month,Day,HadGEM2-ES
1980,1,1,92.56
1980,1,2,92.15
1980,1,3,91.88
1980,1,4,91.69
1980,1,5,91.45
1980,1,6,91.09
1980,1,7,90.73
1980,1,8,90.34
1980,1,9,89.85
1980,1,10,95.20
1980,1,11,95.20
1980,1,12,94.57
1980,1,13,94.18
1980,1,14,93.94
1980,1,15,93.59
1980,1,16,93.28
1980,1,17,92.97
1980,1,18,92.63
1980,1,19,92.28
1980,1,20,91.74
1980,1,21,91.54
1980,1,22,91.30
1980,1,23,91.10
1980,1,24,90.87
1980,1,25,90.63
1980,1,26,90.38
1980,1,27,90.02
1980,1,28,89.66
1980,1,29,89.27
1980,1,30,88.82
1980,1,31,88.58
1980,2,1,88.33
1980,2,2,88.00
1980,2,3,87.67
1980,2,4,87.33
1980,2,5,95.20
1980,2,6,94.54
1980,2,7,94.20
1980,2,8,93.74
1980,2,9,95.20
1980,2,10,95.20
1980,2,11,94.68
1980,2,12,94.39
1980,2,13,94.13
1980,2,14,93.77
1980,2,15,93.33
1980,2,16,92.90
1980,2,17,92.45
1980,2,18,92.01
1980,2,19,91.48
1980,2,20,91.14
1980,2,21,90.85
1980,2,22,90.42
1980,2,23,90.09
1980,2,24,89.64
1980,2,25,89.12
1980,2,26,88.56
1980,2,27,87.94
1980,2,28,87.36
1980,2,29,86.72
1980,3,1,86.07
1980,3,2,85.36
1980,3,3,93.02
1980,3,4,95.20
1980,3,5,95.20
1980,3,6,95.20
1980,3,7,94.46
1980,3,8,95.20
1980,3,9,95.20
1980,3,10,95.20
1980,3,11,94.48
1980,3,12,95.20
1980,3,13,94.52
1980,3,14,93.86
1980,3,15,93.27
1980,3,16,93.43
1980,3,17,95.20
1980,3,18,94.50
1980,3,19,94.05
1980,3,20,95.20
1980,3,21,94.32
1980,3,22,93.66
1980,3,23,95.20
1980,3,24,95.20
1980,3,25,95.20
1980,3,26,95.20
1980,3,27,94.68
1980,3,28,95.20
1980,3,29,95.20
1980,3,30,94.34
1980,3,31,95.20
1980,4,1,94.44
1980,4,2,93.51
1980,4,3,92.68
1980,4,4,91.59
1980,4,5,92.37
1980,4,6,93.06
1980,4,7,91.65
1980,4,8,90.20
1980,4,9,88.64
1980,4,10,87.38
1980,4,11,85.15
1980,4,12,86.19
1980,4,13,87.88
1980,4,14,93.14
1980,4,15,94.87
1980,4,16,93.72
1980,4,17,92.14
1980,4,18,90.27
1980,4,19,89.66
1980,4,20,93.37
1980,4,21,95.20
1980,4,22,95.20
1980,4,23,93.67
1980,4,24,91.68
1980,4,25,89.19
1980,4,26,86.79
1980,4,27,85.85
1980,4,28,84.49
1980,4,29,81.37
1980,4,30,79.26
1980,5,1,77.35
1980,5,2,76.45
1980,5,3,75.69
1980,5,4,74.19
1980,5,5,73.03
1980,5,6,71.37
1980,5,7,69.55
1980,5,8,67.62
1980,5,9,65.09
1980,5,10,62.24
1980,5,11,59.48
1980,5,12,62.26
1980,5,13,63.07
1980,5,14,68.91
1980,5,15,69.08
1980,5,16,67.19
1980,5,17,66.14
1980,5,18,64.30
1980,5,19,61.66
1980,5,20,63.77
1980,5,21,61.62
1980,5,22,59.25
1980,5,23,57.95
1980,5,24,55.83
1980,5,25,52.73
1980,5,26,52.62
1980,5,27,50.19
1980,5,28,47.41
1980,5,29,45.23
1980,5,30,43.38
1980,5,31,41.43
1980,6,1,39.52
1980,6,2,38.86
1980,6,3,36.59
1980,6,4,34.25
1980,6,5,32.69
1980,6,6,31.71
1980,6,7,32.00
1980,6,8,30.62
1980,6,9,27.79
1980,6,10,30.28
1980,6,11,27.74
1980,6,12,24.58
1980,6,13,21.27
1980,6,14,17.80
1980,6,15,14.53
1980,6,16,12.11
1980,6,17,10.32
1980,6,18,8.80
1980,6,19,7.56
1980,6,20,7.06
1980,6,21,6.18
1980,6,22,5.74
1980,6,23,5.21
1980,6,24,11.19
1980,6,25,9.90
1980,6,26,23.96
1980,6,27,36.58
1980,6,28,36.34
1980,6,29,32.50
1980,6,30,28.71
1980,7,1,25.36
1980,7,2,26.29
1980,7,3,32.30
1980,7,4,30.14
1980,7,5,27.21
1980,7,6,24.52
1980,7,7,23.28
1980,7,8,21.65
1980,7,9,20.85
1980,7,10,20.66
1980,7,11,19.35
1980,7,12,20.70
1980,7,13,18.16
1980,7,14,15.69
1980,7,15,14.24
1980,7,16,12.50
1980,7,17,10.48
1980,7,18,8.95
1980,7,19,7.85
1980,7,20,9.03
1980,7,21,7.87
1980,7,22,6.66
1980,7,23,5.66
1980,7,24,4.74
1980,7,25,3.89
1980,7,26,3.15
1980,7,27,7.69
1980,7,28,6.51
1980,7,29,5.48
1980,7,30,4.39
1980,7,31,3.50
1980,8,1,2.77
1980,8,2,2.17
1980,8,3,1.96
1980,8,4,1.65
1980,8,5,1.49
1980,8,6,1.38
1980,8,7,1.11
1980,8,8,0.91
1980,8,9,0.77
1980,8,10,6.01
1980,8,11,5.36
1980,8,12,4.61
1980,8,13,3.89
1980,8,14,3.36
1980,8,15,2.89
1980,8,16,2.36
1980,8,17,1.90
1980,8,18,1.53
1980,8,19,1.29
1980,8,20,1.08
1980,8,21,0.91
1980,8,22,0.73
1980,8,23,0.67
1980,8,24,0.58
1980,8,25,0.50
1980,8,26,0.43
1980,8,27,0.36
1980,8,28,0.31
1980,8,29,0.25
1980,8,30,0.20
1980,8,31,0.16
1980,9,1,0.13
1980,9,2,0.10
1980,9,3,0.08
1980,9,4,0.07
1980,9,5,0.06
1980,9,6,0.05
1980,9,7,0.04
1980,9,8,0.03
1980,9,9,0.03
1980,9,10,0.02
1980,9,11,0.02
1980,9,12,0.02
1980,9,13,0.01
1980,9,14,0.01
1980,9,15,23.61
1980,9,16,39.47
1980,9,17,38.15
1980,9,18,36.74
1980,9,19,35.13
1980,9,20,33.66
1980,9,21,31.92
1980,9,22,30.44
1980,9,23,29.02
1980,9,24,27.23
1980,9,25,25.46
1980,9,26,23.61
1980,9,27,21.96
1980,9,28,28.79
1980,9,29,27.75
1980,9,30,26.41
1980,10,1,24.90
1980,10,2,23.56
1980,10,3,22.47
1980,10,4,21.31
1980,10,5,19.86
1980,10,6,19.83
1980,10,7,19.00
1980,10,8,18.45
1980,10,9,20.74
1980,10,10,20.11
1980,10,11,19.41
1980,10,12,18.46
1980,10,13,16.94
1980,10,14,40.52
1980,10,15,95.20
1980,10,16,94.56
1980,10,17,93.24
1980,10,18,92.94
1980,10,19,91.91
1980,10,20,91.59
1980,10,21,90.54
1980,10,22,89.41
1980,10,23,88.23
1980,10,24,95.20
1980,10,25,95.20
1980,10,26,95.20
1980,10,27,95.12
1980,10,28,94.21
1980,10,29,95.20
1980,10,30,95.20
1980,10,31,94.23
1980,11,1,93.41
1980,11,2,95.05
1980,11,3,95.20
1980,11,4,94.81
1980,11,5,94.28
1980,11,6,93.64
1980,11,7,92.96
1980,11,8,92.10
1980,11,9,91.11
1980,11,10,90.06
1980,11,11,92.53
1980,11,12,95.20
1980,11,13,95.20
1980,11,14,94.65
1980,11,15,94.13
1980,11,16,95.20
1980,11,17,94.49
1980,11,18,93.82
1980,11,19,93.23
1980,11,20,95.20
1980,11,21,95.20
1980,11,22,94.74
1980,11,23,94.38
1980,11,24,93.91
1980,11,25,93.46
1980,11,26,92.95
1980,11,27,94.68
1980,11,28,94.09
1980,11,29,95.20
1980,11,30,95.20
1980,12,1,94.73
1980,12,2,94.13
1980,12,3,94.22
1980,12,4,93.85
1980,12,5,95.20
1980,12,6,93.69
1980,12,7,93.13
1980,12,8,95.20
1980,12,9,94.64
1980,12,10,95.20
