Year,Month,Day,MIROC-ESM
1980,1,1,93.85
1980,1,2,93.49
1980,1,3,93.10
1980,1,4,92.73
1980,1,5,92.33
1980,1,6,91.98
1980,1,7,91.72
1980,1,8,91.44
1980,1,9,91.07
1980,1,10,90.54
1980,1,11,90.07
1980,1,12,89.63
1980,1,13,89.12
1980,1,14,89.72
1980,1,15,95.20
1980,1,16,95.20
1980,1,17,95.20
1980,1,18,95.20
1980,1,19,95.20
1980,1,20,94.48
1980,1,21,93.72
1980,1,22,92.92
1980,1,23,92.19
1980,1,24,91.66
1980,1,25,90.98
1980,1,26,93.46
1980,1,27,95.20
1980,1,28,94.67
1980,1,29,94.34
1980,1,30,93.88
1980,1,31,93.35
1980,2,1,92.78
1980,2,2,92.40
1980,2,3,91.96
1980,2,4,91.46
1980,2,5,91.11
1980,2,6,90.79
1980,2,7,90.43
1980,2,8,89.89
1980,2,9,89.22
1980,2,10,95.20
1980,2,11,95.10
1980,2,12,94.53
1980,2,13,95.20
1980,2,14,94.62
1980,2,15,94.23
1980,2,16,93.80
1980,2,17,93.23
1980,2,18,93.43
1980,2,19,92.79
1980,2,20,92.22
1980,2,21,91.79
1980,2,22,91.41
1980,2,23,90.92
1980,2,24,95.20
1980,2,25,95.20
1980,2,26,95.20
1980,2,27,94.20
1980,2,28,94.07
1980,2,29,95.20
1980,3,1,94.68
1980,3,2,94.00
1980,3,3,94.85
1980,3,4,93.72
1980,3,5,92.45
1980,3,6,91.26
1980,3,7,91.70
1980,3,8,91.02
1980,3,9,92.54
1980,3,10,91.79
1980,3,11,91.22
1980,3,12,94.24
1980,3,13,93.22
1980,3,14,92.39
1980,3,15,91.56
1980,3,16,95.20
1980,3,17,95.20
1980,3,18,94.07
1980,3,19,92.95
1980,3,20,92.73
1980,3,21,91.76
1980,3,22,91.14
1980,3,23,90.63
1980,3,24,90.15
1980,3,25,89.57
1980,3,26,88.77
1980,3,27,87.88
1980,3,28,86.93
1980,3,29,85.66
1980,3,30,95.20
1980,3,31,95.20
1980,4,1,94.03
1980,4,2,93.00
1980,4,3,92.13
1980,4,4,91.20
1980,4,5,90.17
1980,4,6,88.49
1980,4,7,86.90
1980,4,8,87.57
1980,4,9,86.30
1980,4,10,84.80
1980,4,11,89.08
1980,4,12,95.20
1980,4,13,95.01
1980,4,14,94.05
1980,4,15,93.13
1980,4,16,92.09
1980,4,17,90.83
1980,4,18,95.20
1980,4,19,94.08
1980,4,20,92.48
1980,4,21,91.18
1980,4,22,90.20
1980,4,23,89.10
1980,4,24,95.20
1980,4,25,95.20
1980,4,26,95.20
1980,4,27,95.20
1980,4,28,95.20
1980,4,29,93.99
1980,4,30,92.66
1980,5,1,93.07
1980,5,2,94.78
1980,5,3,93.55
1980,5,4,92.34
1980,5,5,92.33
1980,5,6,90.87
1980,5,7,88.86
1980,5,8,86.96
1980,5,9,85.28
1980,5,10,84.10
1980,5,11,89.93
1980,5,12,93.99
1980,5,13,92.37
1980,5,14,90.70
1980,5,15,89.30
1980,5,16,87.62
1980,5,17,86.37
1980,5,18,83.40
1980,5,19,80.11
1980,5,20,77.28
1980,5,21,76.36
1980,5,22,77.90
1980,5,23,75.49
1980,5,24,73.48
1980,5,25,71.22
1980,5,26,69.74
1980,5,27,68.00
1980,5,28,65.93
1980,5,29,64.10
1980,5,30,61.81
1980,5,31,64.45
1980,6,1,70.65
1980,6,2,75.67
1980,6,3,73.28
1980,6,4,69.83
1980,6,5,67.02
1980,6,6,67.86
1980,6,7,71.71
1980,6,8,70.57
1980,6,9,68.79
1980,6,10,68.47
1980,6,11,68.19
1980,6,12,64.72
1980,6,13,63.15
1980,6,14,61.52
1980,6,15,58.65
1980,6,16,61.31
1980,6,17,58.20
1980,6,18,55.26
1980,6,19,51.96
1980,6,20,49.12
1980,6,21,47.33
1980,6,22,45.25
1980,6,23,42.75
1980,6,24,44.98
1980,6,25,41.68
1980,6,26,38.75
1980,6,27,38.16
1980,6,28,36.28
1980,6,29,33.55
1980,6,30,36.54
1980,7,1,38.88
1980,7,2,35.87
1980,7,3,32.87
1980,7,4,32.41
1980,7,5,30.30
1980,7,6,29.45
1980,7,7,26.81
1980,7,8,24.13
1980,7,9,21.36
1980,7,10,18.15
1980,7,11,15.57
1980,7,12,12.98
1980,7,13,10.31
1980,7,14,8.70
1980,7,15,7.00
1980,7,16,5.40
1980,7,17,4.28
1980,7,18,3.60
1980,7,19,3.04
1980,7,20,2.52
1980,7,21,2.09
1980,7,22,1.72
1980,7,23,8.88
1980,7,24,14.98
1980,7,25,12.53
1980,7,26,16.88
1980,7,27,20.91
1980,7,28,20.48
1980,7,29,18.15
1980,7,30,18.05
1980,7,31,16.17
1980,8,1,14.66
1980,8,2,13.03
1980,8,3,11.40
1980,8,4,9.95
1980,8,5,12.57
1980,8,6,11.76
1980,8,7,10.27
1980,8,8,9.31
1980,8,9,8.02
1980,8,10,7.60
1980,8,11,7.18
1980,8,12,6.20
1980,8,13,5.47
1980,8,14,4.81
1980,8,15,4.23
1980,8,16,3.70
1980,8,17,3.70
1980,8,18,3.05
1980,8,19,2.63
1980,8,20,2.26
1980,8,21,2.67
1980,8,22,3.31
1980,8,23,3.18
1980,8,24,2.85
1980,8,25,2.57
1980,8,26,2.27
1980,8,27,2.02
1980,8,28,1.76
1980,8,29,5.27
1980,8,30,8.23
1980,8,31,7.05
1980,9,1,5.88
1980,9,2,5.00
1980,9,3,4.49
1980,9,4,4.04
1980,9,5,6.69
1980,9,6,6.13
1980,9,7,5.45
1980,9,8,4.72
1980,9,9,5.67
1980,9,10,6.25
1980,9,11,5.68
1980,9,12,5.52
1980,9,13,5.10
1980,9,14,4.78
1980,9,15,4.41
1980,9,16,4.10
1980,9,17,3.79
1980,9,18,3.49
1980,9,19,6.14
1980,9,20,6.11
1980,9,21,10.28
1980,9,22,9.76
1980,9,23,9.12
1980,9,24,8.38
1980,9,25,7.70
1980,9,26,14.33
1980,9,27,13.70
1980,9,28,13.03
1980,9,29,12.41
1980,9,30,11.72
1980,10,1,11.09
1980,10,2,10.48
1980,10,3,9.80
1980,10,4,9.15
1980,10,5,8.55
1980,10,6,8.20
1980,10,7,11.33
1980,10,8,10.68
1980,10,9,10.32
1980,10,10,9.59
1980,10,11,8.88
1980,10,12,8.26
1980,10,13,7.64
1980,10,14,6.88
1980,10,15,6.44
1980,10,16,5.98
1980,10,17,10.13
1980,10,18,13.88
1980,10,19,13.08
1980,10,20,12.30
1980,10,21,11.91
1980,10,22,11.70
1980,10,23,13.27
1980,10,24,13.03
1980,10,25,12.74
1980,10,26,25.79
1980,10,27,43.41
1980,10,28,47.21
1980,10,29,46.33
1980,10,30,45.58
1980,10,31,44.95
1980,11,1,44.08
1980,11,2,49.54
1980,11,3,62.05
1980,11,4,68.44
1980,11,5,67.62
1980,11,6,66.53
1980,11,7,66.30
1980,11,8,71.47
1980,11,9,70.13
1980,11,10,68.98
1980,11,11,67.95
1980,11,12,66.69
1980,11,13,71.41
1980,11,14,71.03
1980,11,15,70.21
1980,11,16,69.15
1980,11,17,74.37
1980,11,18,75.33
1980,11,19,74.58
1980,11,20,74.33
1980,11,21,73.40
1980,11,22,72.82
1980,11,23,72.72
1980,11,24,72.02
1980,11,25,71.55
1980,11,26,81.81
1980,11,27,80.85
1980,11,28,80.80
1980,11,29,80.09
1980,11,30,82.88
1980,12,1,82.21
1980,12,2,81.51
1980,12,3,80.98
1980,12,4,80.58
1980,12,5,80.10
1980,12,6,79.59
1980,12,7,79.15
1980,12,8,79.62
1980,12,9,87.12
1980,12,10,89.40
1980,12,11,88.92
1980,12,12,88.58
1980,12,13,88.20
1980,12,14,87.75
1980,12,15,87.23
1980,12,16,86.76
1980,12,17,86.34
1980,12,18,85.91
1980,12,19,95.20
1980,12,20,95.20
1980,12,21,94.49
1980,12,22,94.01
1980,12,23,93.59
1980,12,24,95.20
1980,12,25,94.72
1980,12,26,94.28
1980,12,27,93.93
1980,12,28,93.42
1980,12,29,92.78
1980,12,30,92.29
1980,12,31,91.71
1981,1,1,91.31
1981,1,2,90.88
1981,1,3,90.34
1981,1,4,89.85
1981,1,5,89.46
1981,1,6,95.20
1981,1,7,95.20
1981,1,8,94.67
1981,1,9,94.31
1981,1,10,93.99
1981,1,11,93.79
1981,1,12,93.42
1981,1,13,92.92
1981,1,14,92.39
1981,1,15,91.98
1981,1,16,91.73
1981,1,17,91.38
1981,1,18,95.20
1981,1,19,95.20
1981,1,20,94.80
1981,1,21,94.25
1981,1,22,95.20
1981,1,23,95.20
1981,1,24,94.62
1981,1,25,94.40
1981,1,26,94.26
1981,1,27,93.99
1981,1,28,93.57
1981,1,29,93.03
1981,1,30,92.64
1981,1,31,92.24
1981,2,1,91.86
1981,2,2,91.59
1981,2,3,91.24
1981,2,4,90.85
1981,2,5,90.31
1981,2,6,89.78
1981,2,7,89.37
1981,2,8,88.73
1981,2,9,95.20
1981,2,10,95.20
1981,2,11,95.20
1981,2,12,95.20
1981,2,13,95.20
1981,2,14,95.20
1981,2,15,94.67
1981,2,16,94.09
1981,2,17,95.20
1981,2,18,94.60
1981,2,19,94.12
1981,2,20,93.64
1981,2,21,95.20
1981,2,22,95.20
1981,2,23,94.54
1981,2,24,94.18
1981,2,25,93.73
1981,2,26,95.17
1981,2,27,95.20
1981,2,28,94.65
1981,3,1,93.99
1981,3,2,95.20
1981,3,3,95.20
1981,3,4,94.43
1981,3,5,93.66
1981,3,6,95.20
1981,3,7,95.20
1981,3,8,94.14
1981,3,9,95.03
1981,3,10,94.18
1981,3,11,95.20
1981,3,12,95.20
1981,3,13,94.55
1981,3,14,93.81
1981,3,15,93.13
1981,3,16,92.32
1981,3,17,91.55
1981,3,18,90.84
1981,3,19,90.09
1981,3,20,95.20
1981,3,21,94.56
1981,3,22,93.86
1981,3,23,93.20
1981,3,24,95.20
1981,3,25,95.20
1981,3,26,95.20
1981,3,27,95.20
1981,3,28,93.97
1981,3,29,92.67
1981,3,30,91.88
1981,3,31,91.12
1981,4,1,91.54
1981,4,2,92.20
1981,4,3,91.04
1981,4,4,89.60
1981,4,5,95.20
1981,4,6,93.65
1981,4,7,92.53
1981,4,8,91.65
1981,4,9,91.22
1981,4,10,90.27
