Year,Month,Day,NorESM1-M
1980,1,1,95.20
1980,1,2,95.20
1980,1,3,95.20
1980,1,4,94.82
1980,1,5,94.20
1980,1,6,93.33
1980,1,7,92.64
1980,1,8,91.99
1980,1,9,92.69
1980,1,10,92.24
1980,1,11,92.75
1980,1,12,94.37
1980,1,13,93.61
1980,1,14,93.99
1980,1,15,93.39
1980,1,16,92.98
1980,1,17,92.62
1980,1,18,92.30
1980,1,19,91.97
1980,1,20,91.66
1980,1,21,91.34
1980,1,22,90.88
1980,1,23,90.40
1980,1,24,89.84
1980,1,25,89.53
1980,1,26,89.29
1980,1,27,89.06
1980,1,28,88.71
1980,1,29,89.53
1980,1,30,95.20
1980,1,31,95.20
1980,2,1,95.20
1980,2,2,95.20
1980,2,3,94.41
1980,2,4,93.74
1980,2,5,93.15
1980,2,6,93.03
1980,2,7,92.81
1980,2,8,92.29
1980,2,9,91.78
1980,2,10,91.17
1980,2,11,95.20
1980,2,12,95.20
1980,2,13,94.14
1980,2,14,94.18
1980,2,15,93.83
1980,2,16,93.55
1980,2,17,93.10
1980,2,18,92.68
1980,2,19,92.32
1980,2,20,91.99
1980,2,21,91.60
1980,2,22,91.29
1980,2,23,90.91
1980,2,24,90.40
1980,2,25,89.67
1980,2,26,95.20
1980,2,27,95.20
1980,2,28,95.20
1980,2,29,95.20
1980,3,1,94.54
1980,3,2,94.05
1980,3,3,93.48
1980,3,4,95.20
1980,3,5,94.44
1980,3,6,93.73
1980,3,7,95.20
1980,3,8,94.26
1980,3,9,95.20
1980,3,10,94.50
1980,3,11,93.70
1980,3,12,92.88
1980,3,13,92.27
1980,3,14,91.53
1980,3,15,90.83
1980,3,16,90.41
1980,3,17,89.96
1980,3,18,89.41
1980,3,19,88.88
1980,3,20,88.23
1980,3,21,87.40
1980,3,22,92.81
1980,3,23,92.94
1980,3,24,93.78
1980,3,25,95.20
1980,3,26,95.20
1980,3,27,95.20
1980,3,28,95.20
1980,3,29,95.20
1980,3,30,95.20
1980,3,31,95.20
1980,4,1,94.43
1980,4,2,93.67
1980,4,3,92.82
1980,4,4,92.05
1980,4,5,91.60
1980,4,6,93.11
1980,4,7,92.17
1980,4,8,93.04
1980,4,9,95.20
1980,4,10,95.20
1980,4,11,95.20
1980,4,12,93.96
1980,4,13,93.92
1980,4,14,92.90
1980,4,15,95.20
1980,4,16,94.35
1980,4,17,93.58
1980,4,18,95.03
1980,4,19,95.20
1980,4,20,95.20
1980,4,21,93.66
1980,4,22,92.76
1980,4,23,95.20
1980,4,24,95.20
1980,4,25,95.20
1980,4,26,94.22
1980,4,27,93.36
1980,4,28,92.87
1980,4,29,92.36
1980,4,30,90.98
1980,5,1,89.53
1980,5,2,87.98
1980,5,3,86.09
1980,5,4,83.80
1980,5,5,91.65
1980,5,6,95.20
1980,5,7,95.20
1980,5,8,94.49
1980,5,9,94.53
1980,5,10,93.14
1980,5,11,92.58
1980,5,12,90.95
1980,5,13,87.93
1980,5,14,86.54
1980,5,15,87.01
1980,5,16,88.56
1980,5,17,85.88
1980,5,18,83.67
1980,5,19,81.41
1980,5,20,79.50
1980,5,21,83.59
1980,5,22,82.12
1980,5,23,79.50
1980,5,24,78.51
1980,5,25,77.37
1980,5,26,75.75
1980,5,27,73.55
1980,5,28,74.44
1980,5,29,73.34
1980,5,30,70.20
1980,5,31,68.09
1980,6,1,66.93
1980,6,2,64.61
1980,6,3,61.92
1980,6,4,59.33
1980,6,5,57.98
1980,6,6,58.82
1980,6,7,57.31
1980,6,8,54.26
1980,6,9,51.49
1980,6,10,50.95
1980,6,11,48.55
1980,6,12,45.95
1980,6,13,43.62
1980,6,14,40.52
1980,6,15,39.53
1980,6,16,37.10
1980,6,17,34.45
1980,6,18,32.31
1980,6,19,30.56
1980,6,20,29.12
1980,6,21,29.07
1980,6,22,27.56
1980,6,23,24.44
1980,6,24,22.14
1980,6,25,20.08
1980,6,26,17.40
1980,6,27,15.16
1980,6,28,28.19
1980,6,29,33.50
1980,6,30,30.81
1980,7,1,28.03
1980,7,2,25.26
1980,7,3,22.10
1980,7,4,20.85
1980,7,5,18.09
1980,7,6,15.22
1980,7,7,12.45
1980,7,8,11.00
1980,7,9,17.47
1980,7,10,15.44
1980,7,11,13.49
1980,7,12,11.65
1980,7,13,9.80
1980,7,14,8.16
1980,7,15,6.62
1980,7,16,5.38
1980,7,17,5.19
1980,7,18,11.70
1980,7,19,18.66
1980,7,20,19.12
1980,7,21,18.31
1980,7,22,16.01
1980,7,23,13.60
1980,7,24,11.52
1980,7,25,20.99
1980,7,26,19.43
1980,7,27,17.21
1980,7,28,27.47
1980,7,29,28.06
1980,7,30,25.92
1980,7,31,22.74
1980,8,1,19.22
1980,8,2,16.43
1980,8,3,14.55
1980,8,4,13.01
1980,8,5,11.43
1980,8,6,9.97
1980,8,7,10.70
1980,8,8,20.54
1980,8,9,18.77
1980,8,10,16.94
1980,8,11,15.30
1980,8,12,13.70
1980,8,13,12.19
1980,8,14,10.75
1980,8,15,9.49
1980,8,16,7.91
1980,8,17,6.57
1980,8,18,5.47
1980,8,19,4.73
1980,8,20,4.01
1980,8,21,3.51
1980,8,22,3.03
1980,8,23,2.53
1980,8,24,2.05
1980,8,25,1.68
1980,8,26,1.57
1980,8,27,1.36
1980,8,28,1.15
1980,8,29,1.01
1980,8,30,1.30
1980,8,31,30.31
1980,9,1,38.60
1980,9,2,36.03
1980,9,3,33.23
1980,9,4,30.59
1980,9,5,47.13
1980,9,6,44.73
1980,9,7,42.65
1980,9,8,50.33
1980,9,9,72.06
1980,9,10,72.56
1980,9,11,70.69
1980,9,12,68.55
1980,9,13,66.29
1980,9,14,64.10
1980,9,15,61.86
