Year,Month,Day,inmcm4
1980,1,1,92.50
1980,1,2,92.25
1980,1,3,91.95
1980,1,4,91.56
1980,1,5,95.20
1980,1,6,95.20
1980,1,7,95.20
1980,1,8,94.96
1980,1,9,94.72
1980,1,10,94.48
1980,1,11,94.28
1980,1,12,94.02
1980,1,13,93.71
1980,1,14,93.44
1980,1,15,93.18
1980,1,16,92.97
1980,1,17,92.83
1980,1,18,92.60
1980,1,19,92.16
1980,1,20,91.69
1980,1,21,91.17
1980,1,22,90.73
1980,1,23,90.29
1980,1,24,89.89
1980,1,25,89.53
1980,1,26,89.05
1980,1,27,88.62
1980,1,28,94.22
1980,1,29,95.20
1980,1,30,94.74
1980,1,31,94.45
1980,2,1,94.18
1980,2,2,94.03
1980,2,3,93.82
1980,2,4,93.38
1980,2,5,92.96
1980,2,6,92.83
1980,2,7,92.56
1980,2,8,92.10
1980,2,9,91.59
1980,2,10,91.26
1980,2,11,91.06
1980,2,12,90.79
1980,2,13,90.33
1980,2,14,89.82
1980,2,15,89.68
1980,2,16,89.08
1980,2,17,88.56
1980,2,18,95.20
1980,2,19,94.57
1980,2,20,94.08
1980,2,21,93.63
1980,2,22,93.05
1980,2,23,92.44
1980,2,24,95.20
1980,2,25,95.20
1980,2,26,95.20
1980,2,27,95.20
1980,2,28,94.49
1980,2,29,94.13
1980,3,1,93.84
1980,3,2,93.33
1980,3,3,92.77
1980,3,4,92.13
1980,3,5,91.46
1980,3,6,91.61
1980,3,7,90.78
1980,3,8,95.20
1980,3,9,95.20
1980,3,10,95.20
1980,3,11,95.20
1980,3,12,95.20
1980,3,13,95.20
1980,3,14,94.59
1980,3,15,93.91
1980,3,16,93.16
1980,3,17,95.20
1980,3,18,95.20
1980,3,19,95.20
1980,3,20,95.20
1980,3,21,93.25
1980,3,22,91.56
1980,3,23,91.10
1980,3,24,90.35
1980,3,25,89.54
1980,3,26,89.51
1980,3,27,88.78
1980,3,28,93.12
1980,3,29,93.93
1980,3,30,93.22
1980,3,31,92.55
1980,4,1,95.20
1980,4,2,93.78
1980,4,3,94.25
1980,4,4,95.20
1980,4,5,93.35
1980,4,6,95.20
1980,4,7,94.86
1980,4,8,95.20
1980,4,9,95.20
1980,4,10,94.79
1980,4,11,93.73
1980,4,12,93.21
1980,4,13,92.19
1980,4,14,93.80
1980,4,15,92.36
1980,4,16,89.93
1980,4,17,93.13
1980,4,18,92.63
1980,4,19,92.74
1980,4,20,92.46
1980,4,21,90.48
1980,4,22,90.60
1980,4,23,95.20
1980,4,24,95.20
1980,4,25,95.20
1980,4,26,95.20
1980,4,27,95.20
1980,4,28,95.20
1980,4,29,95.20
1980,4,30,95.20
1980,5,1,93.25
1980,5,2,92.19
1980,5,3,89.09
1980,5,4,87.03
1980,5,5,85.93
1980,5,6,84.57
1980,5,7,83.48
1980,5,8,90.56
1980,5,9,89.66
1980,5,10,87.02
1980,5,11,95.20
1980,5,12,94.98
1980,5,13,92.66
1980,5,14,89.79
1980,5,15,87.81
1980,5,16,85.91
1980,5,17,84.25
