Year,Month,Day,ACCESS1-3
1980,1,1,53.66
1980,1,2,53.48
1980,1,3,53.31
1980,1,4,53.13
1980,1,5,52.96
1980,1,6,52.78
1980,1,7,52.66
1980,1,8,52.57
1980,1,9,52.45
1980,1,10,52.31
1980,1,11,52.18
1980,1,12,51.86
1980,1,13,51.47
1980,1,14,51.28
1980,1,15,51.06
1980,1,16,50.66
1980,1,17,50.25
1980,1,18,60.00
1980,1,19,60.00
1980,1,20,59.50
1980,1,21,59.05
1980,1,22,58.67
1980,1,23,58.50
1980,1,24,58.31
1980,1,25,58.09
1980,1,26,57.75
1980,1,27,60.00
1980,1,28,59.62
1980,1,29,59.32
1980,1,30,59.07
1980,1,31,58.88
1980,2,1,58.76
1980,2,2,58.63
1980,2,3,58.35
1980,2,4,58.09
1980,2,5,57.95
1980,2,6,57.75
1980,2,7,57.39
1980,2,8,57.01
1980,2,9,56.77
1980,2,10,56.55
1980,2,11,56.35
1980,2,12,56.11
1980,2,13,55.66
1980,2,14,55.31
1980,2,15,55.00
1980,2,16,54.69
1980,2,17,54.36
1980,2,18,53.92
1980,2,19,53.70
1980,2,20,53.55
1980,2,21,53.36
1980,2,22,53.01
1980,2,23,52.49
1980,2,24,52.55
1980,2,25,60.00
1980,2,26,60.00
1980,2,27,60.00
1980,2,28,59.47
1980,2,29,59.73
1980,3,1,59.25
1980,3,2,58.74
1980,3,3,58.35
1980,3,4,57.94
1980,3,5,57.50
1980,3,6,57.01
1980,3,7,56.70
1980,3,8,56.11
1980,3,9,56.42
1980,3,10,55.93
1980,3,11,55.38
1980,3,12,54.82
1980,3,13,54.73
1980,3,14,54.06
1980,3,15,53.66
1980,3,16,60.00
1980,3,17,60.00
1980,3,18,59.83
1980,3,19,60.00
1980,3,20,59.84
1980,3,21,60.00
1980,3,22,60.00
1980,3,23,60.00
1980,3,24,60.00
1980,3,25,60.00
1980,3,26,59.40
1980,3,27,59.16
1980,3,28,58.40
1980,3,29,60.00
1980,3,30,60.00
1980,3,31,60.00
1980,4,1,60.00
1980,4,2,59.41
1980,4,3,58.68
1980,4,4,58.08
1980,4,5,57.58
1980,4,6,57.19
1980,4,7,59.88
1980,4,8,60.00
1980,4,9,60.00
1980,4,10,60.00
1980,4,11,60.00
1980,4,12,60.00
1980,4,13,60.00
1980,4,14,60.00
1980,4,15,60.00
1980,4,16,60.00
1980,4,17,60.00
1980,4,18,60.00
1980,4,19,60.00
1980,4,20,60.00
1980,4,21,60.00
1980,4,22,60.00
1980,4,23,60.00
1980,4,24,60.00
1980,4,25,59.80
1980,4,26,60.00
1980,4,27,60.00
1980,4,28,60.00
1980,4,29,59.61
1980,4,30,58.77
1980,5,1,59.63
1980,5,2,58.98
1980,5,3,58.57
1980,5,4,57.29
1980,5,5,58.08
1980,5,6,56.86
1980,5,7,57.19
1980,5,8,57.51
1980,5,9,57.14
1980,5,10,56.41
1980,5,11,55.25
1980,5,12,60.00
1980,5,13,60.00
1980,5,14,60.00
1980,5,15,60.00
1980,5,16,59.87
1980,5,17,60.00
1980,5,18,60.00
1980,5,19,60.00
1980,5,20,58.43
1980,5,21,56.33
1980,5,22,53.83
1980,5,23,54.25
1980,5,24,51.90
1980,5,25,52.17
1980,5,26,49.94
1980,5,27,51.94
1980,5,28,53.93
1980,5,29,53.86
1980,5,30,50.99
1980,5,31,47.95
1980,6,1,46.19
1980,6,2,47.18
1980,6,3,43.98
1980,6,4,41.59
1980,6,5,40.13
1980,6,6,38.43
1980,6,7,37.31
1980,6,8,35.40
1980,6,9,33.39
1980,6,10,31.78
1980,6,11,31.03
1980,6,12,36.70
1980,6,13,47.64
1980,6,14,45.57
1980,6,15,44.65
1980,6,16,42.26
1980,6,17,39.78
1980,6,18,38.55
1980,6,19,37.33
1980,6,20,37.02
1980,6,21,42.68
1980,6,22,56.33
1980,6,23,60.00
1980,6,24,60.00
1980,6,25,58.97
1980,6,26,59.38
1980,6,27,58.55
1980,6,28,56.86
